song_id,user_id,rating
29PwLX4NPjGhFELtCV3BdQ,F6LSRT,0
4XvFVae240dPc89jtn9OPL,F6LSRT,0
6bPGMzdBOlLqQ9hPTH2H7x,F6LSRT,0
2r5K8YZs9MTU8Xsu4OOefQ,F6LSRT,1
6KzvYaAZSvtOnT3y5RlOTn,F6LSRT,0
0NnCLz3bk8QM989oIfgJca,F6LSRT,1
05cl900W2tauCXJQToUDkR,F6LSRT,1
5V3lhoxWzVZsA5S5SGG2yT,F6LSRT,1
7bDwHTks5GZMDFOygSbngA,F6LSRT,1
64LbuqZsL9WhdOlZfEs9XP,F6LSRT,1
4UzRYaEJzjXIiX5C8i5Zvl,F6LSRT,0
4MaOXwqSgiwgngbeYePmu8,F6LSRT,1
1bE4l3qlq0g5lIcc1SDF19,F6LSRT,0
6diACp51u3kXARLTwKlL1V,F6LSRT,0
6QplfDU1VMEY6IxgwdeH5k,F6LSRT,0
2cFr52r68F69Gb21RSJprg,F6LSRT,1
78ka6PZF4tlLAKi7jrRaZd,F6LSRT,1
6DIr7Bx3VBlIAzV5V5owuN,F6LSRT,0
7sLscEI1J3Aq4aCNX3VK6o,F6LSRT,0
3qjR2KnmptpeK1zTWXSr6C,F6LSRT,0
0wzL0ssT3WGUJbphAVmp0I,F6LSRT,1
7s1apbBNU97puclrpKdnH7,F6LSRT,1
24ie5evZyVc2HZkyoJXTTj,F6LSRT,0
4DFzPwjqaFsisFXUL9VbJ3,F6LSRT,0
6KbWAGx2siAX1DchB0uL14,F6LSRT,0
7HWQNlXrvWJk1t2RO2Clsk,F6LSRT,0
1O2c2sxjx5soy7fLLFaWbT,F6LSRT,1
7whJZKG9x0V604R68f1JPp,F6LSRT,0
0gSfVE5LyuhDDbQ4IXBjcq,F6LSRT,1
4UzRYaEJzjXIiX5C8i5Zvl,F6LSRT,0
2T1r3MMzaieZSUlawLolEn,F6LSRT,0
2TME2xobZKLhyqrvOSSY7W,F6LSRT,1
5y2GUsYXvXn2QlzIAOWdtE,F6LSRT,1
3Oik6mNxcMarzlnlkhpenk,F6LSRT,0
5oFlrUZZLrs8HCTDyBdacU,F6LSRT,0
1EAzBfuoHokCIYnmcjWksB,F6LSRT,1
5ZhEa6l4TKH8jzToug7CHI,F6LSRT,0
0mE4gVrFbEtL2Ze4YIM3c0,F6LSRT,1
7GLXtJ9cQ4UwZlhyimP6qv,F6LSRT,0
77UGX35IK6UZBaSCgD9j2B,9U1ICZ,0
4U8XZurXqUvRV66BFCB366,9U1ICZ,1
2vbIM73midMuIGdX5guVkG,9U1ICZ,0
0NnCLz3bk8QM989oIfgJca,9U1ICZ,1
15fmCIDtlQ58m72JOGgHng,9U1ICZ,1
5z8JnlDscdMJsl4xL3ZWI8,9U1ICZ,0
5U7fMfWHztmZGWsczzIUuA,9U1ICZ,0
7GLXtJ9cQ4UwZlhyimP6qv,9U1ICZ,1
4UXKWwKhcLShjGdjIIaca9,9U1ICZ,1
2cAMGKMqCitWZalaS6RT6R,9U1ICZ,0
24FPj1NfigHBf140kTbdS8,9U1ICZ,1
6CqGgqbkEJD7T2dxAfyn9f,9U1ICZ,0
5RlRBBTWIfnIXNPH69hgEU,9U1ICZ,0
6pb2MpEvnZR7ehG0HFh1LG,9U1ICZ,0
18YsNcg3M6ZZP6GHt4hIQd,9U1ICZ,0
6o8eIDnAmPB9jLbjaw5Z2u,9U1ICZ,0
0IwMF4CxDHGVFmwXYum0Ge,9U1ICZ,1
6DIr7Bx3VBlIAzV5V5owuN,9U1ICZ,0
1aoWhYhLgKc62N4yOaAttX,9U1ICZ,1
0wzL0ssT3WGUJbphAVmp0I,9U1ICZ,0
1IibSl50X7P0vavo8uposp,9U1ICZ,1
4mWHIrBbdn6Gu1BzG6En6w,9U1ICZ,1
1iqnkBWge47Yhboceuceas,9U1ICZ,1
3wyrUqgtKA7KnH0yLzuwJz,9U1ICZ,0
3iKyEq2p4eyPbDpQv0SuYX,9U1ICZ,0
5OFCD2OEQFoCuDqvU1rdr8,9U1ICZ,1
3FUnM3jqpDhpgNx1rauGJd,9U1ICZ,1
4V9EKMfzkphAJeBvtE8NDJ,9U1ICZ,0
3P69EQqa5Ezhv18zi7zv45,9U1ICZ,1
1GCdQDCqcJJNvAGW4sQuWL,9U1ICZ,0
7IDQpmSiqblQrw8AUNo9FS,9U1ICZ,1
7Lm6AU2K0BfoxXzgDCiVfl,9U1ICZ,1
6XYuQ6MtjVDS8t4wr3QqHh,9U1ICZ,1
2TME2xobZKLhyqrvOSSY7W,9U1ICZ,0
2ATxfP6aZJ0a1bZwbYgGHw,9U1ICZ,1
78zAE4euCJKNA2NZdVUWWI,9U1ICZ,1
0jsM3r4uwPhQgzHYR33LBE,9U1ICZ,1
6ybgsuhSsaSXIuAbnXTywO,LGFJPB,0
1BljO8oh8qaPifW69tPJ9o,LGFJPB,0
1OOeVgWpo5KyitAT9w8Td7,LGFJPB,0
3nztQ70z7x9LIDHecXPAA6,LGFJPB,1
2GI5ncgUrcUH7OVbWNzYWj,LGFJPB,1
5mmFQ4M6cnJA5E2occv60d,LGFJPB,1
1iZr2EeyXoM07bTZHYFXtK,LGFJPB,1
03ZRbUGdgH3oyWtdxxu33A,LGFJPB,0
10VjxTqfwaH6nheQEPPoDO,LGFJPB,0
6DIr7Bx3VBlIAzV5V5owuN,LGFJPB,0
5lFxWs4lO5QlP545Hlbqtm,LGFJPB,1
3CXIrk33I81NAuStT6wqxt,LGFJPB,0
